section_id,title,description,url,type,pages,difficulty  
3.5.1.2,3.5.1.2 Current-voltage characteristics,A-Level Physics Online (Current / Voltage Graphs),https://www.alevelphysicsonline.com/aqa/electricity/current-voltage-graphs,,,
3.5.1.1,3.5.1.1 Basics of electricity,A-Level Physics Online (Electric Current),https://www.alevelphysicsonline.com/aqa/electricity/electric-current,,,
3.5.1.6,3.5.1.6 Electromotive force and internal resistance,A-Level Physics Online (EMF and Internal Resistance),https://www.alevelphysicsonline.com/aqa/electricity/emf-and-internal-resistance,,,
3.5.1.3,3.5.1.3 Resistivity,A-Level Physics Online (Resistivity),https://www.alevelphysicsonline.com/aqa/electricity/resistivity,,,
3.5.1.4,3.5.1.4 Circuits,A-Level Physics Online (Series and Parallel Circuits),https://www.alevelphysicsonline.com/aqa/electricity/series-and-parallel-circuits,,,
3.5.1.5,3.5.1.5 Potential divider,A-Level Physics Online (The Potential Divider),https://www.alevelphysicsonline.com/aqa/electricity/the-potential-divider,,,
3.4.2.1,3.4.2.1 Bulk properties of solids,A-Level Physics Online (Deformation of Solids),https://www.alevelphysicsonline.com/aqa/materials/deformation-of-solids,,,
3.4.2.2,3.4.2.2 The Young modulus,A-Level Physics Online (Young Modulus),https://www.alevelphysicsonline.com/aqa/materials/young-modulus,,,
3.4.1.8,3.4.1.8 Conservation of energy,A-Level Physics Online (Conservation of Energy),https://www.alevelphysicsonline.com/aqa/mechanics/conservation-of-energy,,,
3.4.1.3,3.4.1.3 Motion along a straight line,A-Level Physics Online (Graphs of Motion),https://www.alevelphysicsonline.com/aqa/mechanics/graphs-of-motion,,,
3.4.1.2,3.4.1.2 Moments,A-Level Physics Online (Moments),https://www.alevelphysicsonline.com/aqa/mechanics/moments,,,
3.4.1.6,3.4.1.6 Momentum,A-Level Physics Online (Momentum),https://www.alevelphysicsonline.com/aqa/mechanics/momentum,,,
3.4.1.5,3.4.1.5 Newton's laws of motion,A-Level Physics Online (Newton's Laws of Motion),https://www.alevelphysicsonline.com/aqa/mechanics/newtons-laws-of-motion,,,
3.4.1.4,3.4.1.4 Projectile motion,A-Level Physics Online (Projectile Motion),https://www.alevelphysicsonline.com/aqa/mechanics/projectile-motion,,,
3.4.1.1,3.4.1.1 Scalars and vectors,A-Level Physics Online (Scalars & Vectors),https://www.alevelphysicsonline.com/aqa/mechanics/scalars-vectors,,,
3.4.1.7,"3.4.1.7 Work, energy and power","A-Level Physics Online (Work, Energy & Power)",https://www.alevelphysicsonline.com/aqa/mechanics/work-energy-power,,,
3.2.1.3,"3.2.1.3 Particles, antiparticles and photons",A-Level Physics Online (Antiparticles),https://www.alevelphysicsonline.com/aqa/particles/antiparticles,,,
3.2.1.7,3.2.1.7 Applications of conservation laws,A-Level Physics Online (Conservation Rules),https://www.alevelphysicsonline.com/aqa/particles/conservation-rules,,,
3.2.1.5,3.2.1.5 Classification of particles,A-Level Physics Online (Particle Classification),https://www.alevelphysicsonline.com/aqa/particles/particle-classification,,,
3.2.1.6,3.2.1.6 Quarks and antiquarks,A-Level Physics Online (Quarks),https://www.alevelphysicsonline.com/aqa/particles/quarks,,,
3.2.1.1,3.2.1.1 Constituents of the atom,A-Level Physics Online (Structure of the Atom),https://www.alevelphysicsonline.com/aqa/particles/structure-of-the-atom,,,
3.2.1.4,3.2.1.4 Particle interactions,A-Level Physics Online (The Four Fundamental Forces),https://www.alevelphysicsonline.com/aqa/particles/the-four-fundamental-forces,,,
3.2.1.2,3.2.1.2 Stable and unstable nuclei,A-Level Physics Online (The Strong Nuclear Force),https://www.alevelphysicsonline.com/aqa/particles/the-strong-nuclear-force,,,
3.2.2.3,3.2.2.3 Energy levels and photon emission,A-Level Physics Online (Energy Levels),https://www.alevelphysicsonline.com/aqa/quantum-physics/energy-levels,,,
