section_id,title,description,url,duration,difficulty,provider
3.1.1,3.1.1 SI Base Units,Understand the fundamental building blocks of all physical measurements. This section introduces the seven base units (like meters for length and kilograms for mass) that form the foundation of the International System of Units (SI). You'll also learn about derived units (like Newtons for force) and how to use prefixes to handle very large or small numbers.,https://www.youtube.com/watch?v=jLRoseFxm30,,Core A-Level,PhysicsOnline
3.1.1,3.1.1 SI Base Units,"Get a clear overview of the essential measurement concepts for your A-Level Physics course. This video covers the fundamental SI units, how other units are derived from them, and the common prefixes used in physics calculations.",https://www.youtube.com/watch?v=iShtOX8ZAUW,,Core A-Level,TheOrganicChemistry Tutor
3.1.1,3.1.1 SI Base Units,"Explore the basic 'dimensions' or types of quantities that physicists use to describe the world. This video helps you understand the difference between fundamental units in the SI and English systems, providing a solid conceptual base.",https://www.youtube.com/watch?v=2E9JR7b8LwE,,Foundational A-Level,Flipping Physics
3.1.1,3.1.1 SI Base Units,"Learn how to correctly use the standard units and prefixes required for A-Level Physics. This video focuses on the practical application of SI units, ensuring you can confidently work with different scales of measurement.",https://www.youtube.com/watch?v=eJg8rb5n5a8,,Foundational A-Level,DrPhysicsA
3.1.1,3.1.1 SI Base Units,"This video explains the seven fundamental units of measurement and shows how more complex units like Newtons, Joules, and Watts are built from them, giving you practical examples to solidify your understanding.",https://www.youtube.com/watch?v=5xPSb1zPTU,,Foundational A-Level,Eugene Khutoryansky
3.1.2,3.1.2 Errors and Uncertainties,"Learn about the different types of errors that can occur in experiments and how to account for them. This series explains accuracy, precision, and how to calculate and combine uncertainties, which is a crucial skill for practical work.",https://www.youtube.com/watch?v=2E9JR7b8LwE,,Core A-Level,PhysicsOnline
3.1.2,3.1.2 Errors and Uncertainties,"This video breaks down how to handle uncertainties in your measurements, including how to calculate them from gradients on graphs and understand the difference between random and systematic errors.",https://www.youtube.com/watch?v=ul3e-HXAeZA,,Core A-Level,ScienceShorts
3.1.2,3.1.2 Errors and Uncertainties,Get a detailed look at how to calculate percentage uncertainties and combine errors from different measurements. This is essential for evaluating the reliability of your experimental results.,https://www.youtube.com/watch?v=eJg8rb5n5a8,,Core A-Level,DrPhysicsA
3.1.2,3.1.2 Errors and Uncertainties,"A comprehensive guide to measurement errors. This video covers everything from the basic types of errors to how to calculate and combine uncertainties, including using graphs to visualize them.",https://www.youtube.com/watch?v=iShtOX8ZAUW,,Core A-Level,TheOrganicChemistry Tutor
3.1.2,3.1.2 Errors and Uncertainties,"This lesson, created for the AQA curriculum, focuses on understanding and calculating errors and uncertainties, a key part of practical physics.",https://www.youtube.com/watch?v=FfiAbsbOrOE,,Core A-Level,zhelyo_physics
3.1.2,3.1.2 Errors and Uncertainties,"Learn how to calculate the uncertainty when you only have a single measurement, a common situation in practicals.",https://www.youtube.com/watch?v=iFfx7olfzGU,,Core A-Level,PhysicsOnline
3.1.2,3.1.2 Errors and Uncertainties,"This video explains the concept of uncertainty in a simple way, making it easy to understand for your GCSE and A-Level studies.",https://www.youtube.com/watch?v=sXeUIGW3nRY,,Foundational A-Level,ScienceShorts
3.2.1.1,3.2.1.1 Constituents of the atom,"Go back to the basics with this playlist that covers the fundamental parts of an atom (protons, neutrons, electrons), how we represent them, and the concepts of ions and isotopes.",https://www.youtube.com/playlist?list=PLIDtVvefFYT8VSVRLglogZeVVd46UEQ4,,Foundational A-Level,PhysicsOnline
3.2.1.1,3.2.1.1 Constituents of the atom,"This video gives a historical overview of how our model of the atom has changed over time, and explains the key concepts of atomic structure, isotopes, and the properties of subatomic particles.",https://www.youtube.com/watch?v=ovRsLFGng6A,,Foundational A-Level,ScienceShorts
3.2.1.1,3.2.1.1 Constituents of the atom,"Explore the structure of the atom, including the arrangement of electrons in energy levels and how this relates to the light emitted by atoms (spectral lines).",https://www.youtube.com/watch?v=jZxw7OxkaXY,,Core A-Level,DrPhysicsA
3.2.1.1,3.2.1.1 Constituents of the atom,"This video focuses on the key numbers used to describe atoms: the atomic number (protons) and mass number (protons + neutrons), and explains how these relate to an atom's overall charge.",https://www.youtube.com/watch?v=OH-aSu-rWgk,,Foundational A-Level,The Organic Chemistry Tutor
3.2.1.1,3.2.1.1 Constituents of the atom,"A video specifically for the AQA curriculum that covers the essential knowledge about the building blocks of atoms, including nucleons, nuclide notation, and the concept of specific charge.",https://www.youtube.com/watch?v=1OBzx8vOL_U,,Core A-Level,Physics Explained Videos
3.2.1.1,3.2.1.1 Constituents of the atom,"This lesson traces the development of the atomic model and covers the key constituents of the atom, mass and atomic numbers, specific charge, and isotopes.",https://www.youtube.com/watch?v=iBO6cx96YpE,,Core A-Level,UOL TEL
3.2.1.2,3.2.1.2 Stable and unstable nuclei,"This revision video covers the entire topic of atomic structure and radiation for GCSE, which provides a great foundation for understanding why some atomic nuclei are stable and others are not.",https://www.youtube.com/watch?v=dJPiODvZHdM,,Foundational A-Level,PhysicsOnline
3.2.1.2,3.2.1.2 Stable and unstable nuclei,Explore what makes an atomic nucleus stable or unstable. This video discusses the different types of decay processes and the radiation they produce.,https://www.youtube.com/watch?v=sNXDrulM3eo,,Core A-Level,Physics Explained Videos
3.2.1.2,3.2.1.2 Stable and unstable nuclei,"This comprehensive one-hour review of AQA AS Physics includes a section on Particles & Quantum, which will cover the concepts of stable and unstable nuclei.",https://www.youtube.com/watch?v=SfTQ-pzKFeE,,Core A-Level,ScienceShorts
3.2.1.2,3.2.1.2 Stable and unstable nuclei,"A playlist dedicated to Nuclear Physics, covering the properties of stable and unstable nuclei and the processes of radioactive decay.",https://www.youtube.com/watch?v=00iHGv-GQIY,,Core A-Level,DrPhysicsA
3.2.1.3,3.2.1.3 Particles,"This video introduces the concept of antimatter and explains the properties of antiparticles. It also covers the photon model of light, the Planck constant, and the processes of annihilation and pair production.",https://www.youtube.com/watch?v=rAMjVHubocg,,Core A-Level,Physics Explained Videos
3.2.1.3,3.2.1.3 Particles,Learn about the energy of a single photon and how it relates to the photoelectric effect. This video also touches on the fascinating concept of wave-particle duality.,https://www.youtube.com/watch?v=1oKDkDVuu24,,Core A-Level,zhelyo_physics
3.2.1.3,3.2.1.3 Particles,"This video explains the concept of antimatter, the properties of antiparticles, the photon model of light, and how to calculate the energy of a photon.",https://www.youtube.com/watch?v=GjPxA79gtr8,,Core A-Level,ScienceShorts
3.2.1.3,3.2.1.3 Particles,"A clear explanation of what antiparticles are, with examples relevant to your AQA course.",https://www.youtube.com/watch?v=MloElcLEYnE,,Core A-Level,Flipping Physics
3.2.1.3,3.2.1.3 Particles,This video provides a detailed look at annihilation (when a particle and antiparticle meet) and pair production (when energy turns into a particle-antiparticle pair).,https://www.youtube.com/watch?v=xaAthgG0080,,Core A-Level,TheOrganicChemistry Tutor
3.2.1.3,3.2.1.3 Particles,"A fun and comprehensive overview of particle physics, covering antiparticles, annihilation, pair production, and the fundamental forces.",https://www.youtube.com/watch?v=eYu-hqgPtFY,,Extension/Beyond A-Level,Eugene Khutoryansky
3.2.1.4,3.2.1.4 Particle interactions,"This video covers the four fundamental forces of nature, the exchange particles that carry these forces, and how to represent these interactions using Feynman diagrams.",https://www.youtube.com/watch?v=r_lkhixYxJc,,Core A-Level,Physics Explained Videos
3.2.1.4,3.2.1.4 Particle interactions,"Learn how to draw Feynman diagrams for weak interactions (like beta decay) and electromagnetic interactions, and understand the conservation rules that govern them.",https://www.youtube.com/watch?v=yTBi4ExpTrw,,Core A-Level,zhelyo_physics
