section_id,title,description,url,type,question_count,provider,difficulty,has_answers
3.1.1,SI Base Units Test,Flashcards for memorising the 6 required SI base units and all prefixes from femto to tera.,https://quizlet.com/gb/391492481/aqa-a-level-physics-3111-use-of-si-units-and-their-prefixes-flash-cards/,Flashcards,25,Quizlet,A-Level,Yes
3.1.1,SI Base Units & Derived Units,Example questions on deriving SI base units from equations and converting between units like J and eV.,https://mmerevise.co.uk/a-level-physics-revision/si-units-and-prefixes/,Revision Notes & Examples,3,MME Revise,A-Level/AS-Level,Yes
3.1.2,Errors Test,"Flashcards covering definitions of key terms: random/systematic error, precision, accuracy, resolution.",https://quizlet.com/gb/410026535/aqa-a-level-physics-312-limitation-of-physical-measurements-flash-cards/,Flashcards,20,Quizlet,A-Level,Yes
3.1.2,Errors & Uncertainties Detailed Notes,"Detailed notes with worked examples on combining absolute and percentage uncertainties, including for powers.",https://pmt.physicsandmathstutor.com/download/Physics/A-level/Notes/AQA/01-Measurements-and-Errors/Detailed%20Notes%20-%20Section%2001%20Measurements%20and%20their%20Errors%20-%20AQA%20Physics%20A-level.pdf,Notes & Examples,Multiple,Physics & Maths Tutor,A-Level,Yes
3.1.2,Limitation of Physical Measurements Questions,"Complex, multi-part exam questions on uncertainty, error bars, and calculating uncertainty from gradients in practical contexts.",https://theonlinephysicstutor.com/downloads/AQA%20%20Limitation%20of%20physical%20measurements.pdf,Exam Questions (PDF),6,The Online Physics Tutor,A-Level,Yes
3.2.1.1,3.2.1.1 Constituents of the atom,"Example questions on the nuclear model, calculating relative mass, and determining nucleon numbers.",https://mmerevise.co.uk/a-level-physics-revision/atomic-structure/,Revision Notes & Examples,3,MME Revise,A-Level/AS-Level,Yes
3.2.1.2,3.2.1.2 Stable and unstable nuclei,"Flashcards covering the properties of the strong nuclear force, its range, and the basics of nuclear decay.",https://www.brainscape.com/flashcards/3212-stable-and-unstable-nuclei-11007260/packs/19477275,Flashcards,35,Brainscape,A-Level,Yes
3.2.1.2,Stable and Unstable Nuclei Questions,"Example questions on identifying types of decay (alpha, beta-minus, beta-plus) from nuclear equations.",https://mmerevise.co.uk/a-level-physics-revision/stable-and-unstable-nuclei/,Revision Notes & Examples,3,MME Revise,A-Level/AS-Level,Yes
3.2.1.3,"3.2.1.3 Particles, antiparticles and photons","A collection of past AQA exam questions covering annihilation, pair production, and calculations using E=hf.",https://www.animatedscience.co.uk/wp-content/uploads/2021/03/3.2.1.3-Particles-antiparticles-and-photons.docx,Exam Questions (Word Doc),9,Animated Science (Exampro),A-Level,Yes
3.2.1.4,3.2.1.4 Particle interactions,Multiple-choice questions testing knowledge of the four fundamental interactions and their respective exchange particles.,https://wayground.com/admin/quiz/6717bd9340d47c1d5cde3efa/aqa-a-level-physics-3214-particle-interactions,Multiple Choice Quiz,10,Wayground,11th-12th Grade,Yes
3.2.1.5,3.2.1.5 Classification of particles,"Notes and example questions distinguishing Hadrons (Baryons, Mesons) from Leptons, and testing conservation laws.",https://mmerevise.co.uk/a-level-physics-revision/classification-of-particles/,Revision Notes & Examples,3,MME Revise,A-Level/AS-Level,Yes
